someInt,supervisorID,supervisorName,deviceID,customConfig,timeStamp(UTC)
19,11,intMaker,1,False,09/28/2019-21:04:23
78,11,intMaker,1,False,09/28/2019-21:04:24
68,11,intMaker,1,False,09/28/2019-21:04:25
1,11,intMaker,1,False,09/28/2019-21:04:26
85,11,intMaker,1,False,09/28/2019-21:04:27
89,11,intMaker,1,False,09/28/2019-21:04:28
59,11,intMaker,1,False,09/28/2019-21:04:29
94,11,intMaker,1,False,09/28/2019-21:04:30
68,11,intMaker,1,False,09/28/2019-21:04:31
16,11,intMaker,1,False,09/28/2019-21:04:32
95,11,intMaker,1,False,09/28/2019-21:04:33
